127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000864
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.009484
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.016131
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001196
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.002419
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000948
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001926
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000959
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001492
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000981
127.0.0.1, 2016-12-21 08:45:32, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001356
127.0.0.1, 2016-12-21 08:45:41, POST, /admin, HTTP/1.1, 303, 0.137905
127.0.0.1, 2016-12-21 08:45:41, GET, /admin/default/ticket/SPE/127.0.0.1.2016-12-21.08-45-27.3e1294d8-dcf9-4e85-8d70-4905e5dd1e56, HTTP/1.1, 200, 0.163694
127.0.0.1, 2016-12-21 08:45:41, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000875
127.0.0.1, 2016-12-21 08:49:44, GET, /, HTTP/1.1, 200, 4.462198
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/css/main.css, HTTP/1.1, 200, 0.002179
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000908
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000890
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/css/general.css, HTTP/1.1, 404, 0.000749
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/css/footer.css, HTTP/1.1, 200, 0.000877
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/css/navbar.css, HTTP/1.1, 200, 0.000864
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/css/calendar.css, HTTP/1.1, 200, 0.000865
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000941
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/js/jquery.js, HTTP/1.1, 200, 0.000838
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/js/calendar.js, HTTP/1.1, 200, 0.000876
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/js/web2py.js, HTTP/1.1, 200, 0.000906
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001023
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000926
127.0.0.1, 2016-12-21 08:49:44, GET, /SPE/static/js/share.js, HTTP/1.1, 200, 0.000846
127.0.0.1, 2016-12-21 08:49:45, GET, /SPE/static/images/home/LogoUniversidadSimonBolivar.png, HTTP/1.1, 200, 0.001401
127.0.0.1, 2016-12-21 08:49:45, GET, /SPE/static/images/facebook.png, HTTP/1.1, 200, 0.000862
127.0.0.1, 2016-12-21 08:49:46, GET, /SPE/static/images/home/header-usb.png, HTTP/1.1, 200, 0.001606
127.0.0.1, 2016-12-21 08:49:46, GET, /SPE/static/images/twitter.png, HTTP/1.1, 200, 0.000914
127.0.0.1, 2016-12-21 08:49:46, GET, /SPE/static/images/gplus-32.png, HTTP/1.1, 200, 0.000862
127.0.0.1, 2016-12-21 08:49:46, GET, /SPE/static/images/favicon.ico, HTTP/1.1, 200, 0.000855
127.0.0.1, 2017-01-04 19:36:49, GET, /, HTTP/1.1, 500, 0.580093
127.0.0.1, 2017-01-04 19:36:49, GET, /favicon.ico, HTTP/1.1, 404, 0.000294
